Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,Runner Count,Class,Going,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),5,415-127,7,Our Absent Friends,Phil Dennis,T Davidson,49,5,9.3,N,N,N,N,75,145,6f,9,3, Good To Soft,94,1,-1,4,8,Y,Flat,Turf,71
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),4,262766,6,Black Friday,P Mathers,R M Smith,5,8,9.1,N,N,N,Y,73,170,6f,9,3, Good To Soft,93,1,-1,5,6,Y,Flat,Turf,82
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),9,7243-17,7,Woven,Connor Beasley,M Dods,48,7,10.2,N,N,Y,N,88,170,6f,9,3, Good To Soft,93,0,3,6,5,Y,Flat,Turf,66
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),1,9/008-28,8,Royal Pippen,A Mullen,S Donohoe,1,6,9.7,N,N,N,N,79,150,6f,9,3, Good To Soft,96,0,2,7,7,Y,Flat,Turf,56
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),3,90-1441,1,Monsieur Kodi,O J Orr,R A Fahey,20,4,9.11,N,N,Y,Y,83,291,6f,9,3, Good To Soft,94,1,-3,8,1,Y,Flat,Turf,87
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),6,000241,1,Broken Spear,Kieran Schofield,T Coyle,58,7,9.12,N,N,Y,N,84,246,6f,9,3, Good To Soft,95,1,7,9,3,Y,Flat,Turf,84
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,2,2,Thirtyfour Thirty,Sam Twiston-Davies,N A Twiston-Davies,37,4,10.12,N,N,N,N,-,121,2m,6,5, Good,113,0,1,1,3,N,Jump,Turf,42
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,P-,-,Sinnaraja,Toby Wynne,R L Llewellyn,102,4,10.12,N,N,N,N,-,26,2m,6,5, Good,0,0,2,2,6,N,Jump,Turf,-
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,1-,-,Ballela Blaze,Mr J Reddington,T Gallagher,127,5,11.2,N,N,N,N,-,124,2m,6,5, Good,0,0,-12,3,1,N,Jump,Turf,-
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,1,1,Tribal Glory,Mr Ben Sutton,F O'Brien,57,5,11.2,N,N,N,N,-,124,2m,6,5, Good,0,0,-12,4,2,N,Jump,Turf,-
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,3P-,-,Go On Ya Goodthing,C Brace,D Brace,120,4,10.12,N,N,N,N,-,81,2m,6,5, Good,0,0,-11,5,4,N,Jump,Turf,-
Worcester,20230710,15:10,Wacky Weekender Festival Pitchcroft 21st-23rd July Open NH Flat Race (GBB Race) (Class 5),-,-,-,Professor Higgins,N de Boinville,N J Henderson,-,4,10.12,N,N,N,N,-,26,2m,6,5, Good,0,0,0,6,5,N,Jump,Turf,-
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),2,645413,3,Havana Party,O J Orr,I Jardine,32,5,10.1,Y,N,N,Y,64,247,1m 2f,12,6, Good To Soft,75,-1,13,1,2,Y,Flat,Turf,60
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),12,238-322,2,Berry Edge,Connor Beasley,M Dods,30,5,10.4,Y,N,Y,N,67,268,1m 2f,12,6, Good To Soft,70,-1,10,2,1,Y,Flat,Turf,59
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),8,08-2064,4,Flying Moon,Andrew Breslin,R M Smith,27,7,9.6,N,Y,N,Y,55,197,1m 2f,12,6, Good To Soft,73,0,-7,3,4,Y,Flat,Turf,58
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),10,364-767,7,Golden Valour,C Lee,R M Smith,32,7,9.8,N,N,N,N,57,43,1m 2f,12,6, Good To Soft,69,-1,13,4,11,Y,Flat,Turf,54
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),7,175233,3,Cosa Sara,P Mulrennan,J S Goldie,19,5,9.6,N,Y,N,N,55,195,1m 2f,12,6, Good To Soft,69,-1,6,5,5,Y,Flat,Turf,52
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),9,554668,8,Rogue Force,P Mathers,R M Smith,32,5,9.1,N,N,N,N,59,77,1m 2f,12,6, Good To Soft,67,-1,12,6,8,Y,Flat,Turf,42
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),5,46206-,-,Imenso,Connor Murtagh,F P Murtagh,360,3,9.1,N,N,N,N,60,73,1m 2f,12,6, Good To Soft,61,0,-8,7,9,Y,Flat,Turf,49
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),3,712248,8,Broctune Red,Aiden Brookes,G Boanas,30,8,10.1,N,N,Y,N,64,118,1m 2f,12,6, Good To Soft,71,-1,12,8,7,Y,Flat,Turf,56
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),4,378,8,Rampant,Jason Hart,Ewan Whillans,27,3,9.8,N,N,N,N,67,30,1m 2f,12,6, Good To Soft,63,-1,4,9,12,Y,Flat,Turf,3
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),6,055745,5,Mac Ailey,J P Sullivan,T D Easterby,1,7,8.11,N,N,Y,N,46,158,1m 2f,12,6, Good To Soft,73,0,-7,10,6,Y,Flat,Turf,55
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),11,33-8810,0,Purple Ice,Phil Dennis,M Dods,35,4,9.11,N,N,Y,N,60,206,1m 2f,12,6, Good To Soft,71,0,2,11,3,Y,Flat,Turf,16
Ayr,20230710,15:30,Join Racing TV Now Handicap (Class 6),1,567-296,6,Artisan Dancer,J Fanning,Charlie Johnston,7,3,9.8,N,N,N,N,67,55,1m 2f,12,6, Good To Soft,69,0,-3,12,10,Y,Flat,Turf,15
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,6-1,1,Baikal,Lee Edwards,A West,36,4,11.4,N,Y,N,N,-,183,2m 4f,12,4, Good,107,1,23,1,5,N,Jump,Turf,74
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,-,-,Ykikahobbsie,James Best,Joe Ponting,481,4,10.11,N,N,N,N,-,25,2m 4f,12,4, Good,0,1,21,2,12,N,Jump,Turf,-
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,4126-22,2,Ike Sport,Sam Twiston-Davies,N P Mulholland,34,5,11.2,N,N,N,N,116,250,2m 4f,12,4, Good,131,0,-9,3,1,N,Jump,Turf,118
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,8-7,7,Ipso Falco,Tom Cannon,C Gordon,19,5,11.2,N,N,N,N,-,79,2m 4f,12,4, Good,0,1,2,4,11,N,Jump,Turf,-
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,F/421-22,2,Soldat Forte,B S Hughes,C E Longsdon,23,6,11.9,Y,N,N,N,115,227,2m 4f,12,4, Good,115,0,0,5,2,N,Jump,Turf,92
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,R2152-4,4,Ballylinch,Miss Alice Stevens,Micky Hammond,17,6,11.2,N,N,N,N,-,225,2m 4f,12,4, Good,97,0,-2,6,3,N,Jump,Turf,44
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,PF/PF-4,4,Seefin,Bridget Andrews,D Skelton,34,6,11.2,N,N,N,N,-,111,2m 4f,12,4, Good,94,0,-2,7,9,N,Jump,Turf,75
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,3PF/8-3,3,Fulgurant,Nick Scholfield,Mrs S J Humphrey,62,6,11.2,N,N,N,N,-,116,2m 4f,12,4, Good,96,0,-4,8,8,N,Jump,Turf,47
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,36-3,3,Our Friend Mo,Jonjo O'Neill Jr.,Jonjo O'Neill,43,5,10.9,N,N,N,N,-,105,2m 4f,12,4, Good,114,-1,-3,9,10,N,Jump,Turf,57
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,65,5,Sforza Castle,Ben Jones,B Pauling,28,5,11.2,N,N,N,N,-,136,2m 4f,12,4, Good,94,0,-2,10,7,N,Jump,Turf,47
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,8326/,/,Roll With It,S Bowen,R Spencer,491,7,11.2,N,N,N,N,-,176,2m 4f,12,4, Good,0,1,-1,11,6,N,Jump,Turf,-
Worcester,20230710,15:45,Get Pulling With PJ Nicholls SsangYong Novices' Hurdle (GBB Race) (Class 4),-,P3PP/13-,-,Our Brother John,David Bass,Mrs L Hill,225,6,11.2,N,N,N,N,-,216,2m 4f,12,4, Good,0,0,-12,12,4,N,Jump,Turf,-
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),3,039822,2,Alpine Stroll,A Mullen,E De Giles,23,5,8.4,Y,N,N,N,76,218,1m 5f 26y,6,3, Good To Soft,108,1,-13,1,3,Y,Flat,Turf,102
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),5,53-4136,6,Geremia,P Mulrennan,J S Goldie,15,5,8.11,N,N,Y,N,83,175,1m 5f 26y,6,3, Good To Soft,110,0,-11,2,4,Y,Flat,Turf,101
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),1,1-64123,3,La Pulga,J Fanning,Charlie Johnston,17,4,9.2,Y,N,Y,N,88,277,1m 5f 26y,6,3, Good To Soft,108,1,-9,3,1,Y,Flat,Turf,83
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),4,60-2452,2,Ravenscraig Castle,Jason Hart,I Jardine,12,5,8.11,N,N,N,Y,83,244,1m 5f 26y,6,3, Good To Soft,106,1,-7,4,2,Y,Flat,Turf,98
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),2,110-246,6,Zimmerman,J P Sullivan,T D Easterby,19,4,8.8,N,N,N,N,80,111,1m 5f 26y,6,3, Good To Soft,107,1,-12,5,6,Y,Flat,Turf,84
Ayr,20230710,16:05,Follow RacingTV On Twitter Handicap (Class 3),6,2-75590,0,Charging Thunder,D Tudhope,D O'Meara,20,5,9.9,N,N,N,Y,95,113,1m 5f 26y,6,3, Good To Soft,110,-1,5,6,5,Y,Flat,Turf,88
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,75UP8-4,4,Joyful Kit,Shane Quinlan,Harriet Brown,32,7,11.2,N,N,N,N,79,104,2m,12,5, Good,95,-1,7,1,10,Y,Jump,Turf,102
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,6/14562-,-,My Poem,Craig Nichol,O Greenall & J Guerriero,268,6,10.11,N,N,Y,N,74,206,2m,12,5, Good,93,0,14,2,3,Y,Jump,Turf,77
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,4-74121,1,Vision Of Hope,H Cobden,James Owen,17,4,11.8,N,N,Y,N,89,273,2m,12,5, Good,91,0,11,3,1,Y,Jump,Turf,86
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,3425-22,2,Three Macks,Lily Pinchin,C E Longsdon,19,4,11.12,N,N,N,N,93,258,2m,12,5, Good,90,0,8,4,2,Y,Jump,Turf,65
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,P3-374,4,Energy Two,M G Nolan,P Hobbs & J White,19,4,11.3,N,N,N,N,84,118,2m,12,5, Good,89,0,2,5,9,Y,Jump,Turf,63
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,P81P-84,4,Coastal Sun,G Sheehan,Jamie Snowden,20,5,11.0,N,N,Y,N,77,176,2m,12,5, Good,91,0,15,6,4,Y,Jump,Turf,76
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,38-655,5,Bella Madonna,James Best,Simon Earle,19,5,11.3,N,N,N,N,80,151,2m,12,5, Good,87,-1,3,7,5,Y,Jump,Turf,64
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,9779-PB,B,Pepsiwithacap,Jack Tudor,D Pipe,13,4,11.13,N,N,N,N,94,72,2m,12,5, Good,92,0,15,8,11,Y,Jump,Turf,-
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,F278-33,3,On Cloud Nine,Theo Gillard,D McCain Jnr,30,5,12.0,N,N,N,N,91,134,2m,12,5, Good,86,-1,13,9,7,Y,Jump,Turf,29
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,053-4,4,Jolie Baie,James Davies,Miss J S Davis,43,4,10.6,N,N,N,N,73,130,2m,12,5, Good,87,-2,2,10,8,Y,Jump,Turf,55
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,58F-P17,7,Citizen Jane,Mr Murray Dodd,A Ralph,23,4,10.1,N,N,N,N,77,138,2m,12,5, Good,93,0,12,11,6,Y,Jump,Turf,53
Worcester,20230710,16:15,Anja Potze Fine Jewellery Of Worcester Mares' Handicap Hurdle (Class 5),-,36/7568-,-,Saddlers Quest,Ben Jones,Mrs D A Hamer,95,9,10.7,N,N,N,N,70,44,2m,12,5, Good,90,0,0,12,12,Y,Jump,Turf,70
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),5,46-5904,4,Golden Apollo,Sean Kirrane,T D Easterby,16,9,10.0,N,Y,Y,N,73,154,7f 50y,12,5, Good To Soft,81,0,0,1,8,Y,Flat,Turf,71
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),12,7-42325,5,Cold Stare,D Tudhope,D O'Meara,16,8,10.1,N,Y,Y,N,74,234,7f 50y,12,5, Good To Soft,82,0,0,2,2,Y,Flat,Turf,69
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),3,512-382,2,Classy Al,P Mulrennan,J S Goldie,27,5,9.13,Y,Y,N,Y,72,223,7f 50y,12,5, Good To Soft,79,0,-1,3,3,Y,Flat,Turf,71
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),11,7839-51,1,Bay Of Hope,O J Orr,M & D Easterby,17,3,9.1,N,N,Y,N,68,257,7f 50y,12,5, Good To Soft,79,1,-10,4,1,Y,Flat,Turf,62
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),8,82-4145,5,Judgment Call,J Fanning,Miss L A Perratt,23,5,10.3,N,N,Y,Y,76,188,7f 50y,12,5, Good To Soft,83,-2,15,5,6,Y,Flat,Turf,68
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),10,5/9348-5,5,Flash Bulb,William Pyle,K Scott,71,4,9.6,N,N,N,N,65,88,7f 50y,12,5, Good To Soft,69,0,4,6,11,Y,Flat,Turf,54
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),6,601-43,3,Phoenix Fire,Mark Winn,M Dods,58,3,9.1,N,N,Y,N,77,205,7f 50y,12,5, Good To Soft,81,-2,12,7,5,Y,Flat,Turf,36
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),9,20-5767,7,Pol Roger,Phil Dennis,M Dods,30,3,9.8,N,N,Y,N,75,101,7f 50y,12,5, Good To Soft,78,-1,4,8,9,Y,Flat,Turf,54
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),2,2/3-48,8,Thunder Roar,T Eaves,T Coyle,57,4,10.0,N,N,N,N,73,76,7f 50y,12,5, Good To Soft,76,-1,9,9,12,Y,Flat,Turf,24
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),4,07-0053,3,Devilwala,Jason Hart,T D Easterby,20,5,9.13,N,N,N,N,72,162,7f 50y,12,5, Good To Soft,80,-1,5,10,7,Y,Flat,Turf,64
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),7,2-03374,4,Touchwood,J P Sullivan,Mrs R Carr,20,5,10.1,N,N,N,N,74,95,7f 50y,12,5, Good To Soft,81,-1,2,11,10,Y,Flat,Turf,63
Ayr,20230710,16:40,racingtv.com Handicap (Class 5),1,5119-52,2,Deputy,Connor Beasley,M Dods,65,5,10.3,Y,N,Y,N,76,209,7f 50y,12,5, Good To Soft,80,-1,9,12,4,Y,Flat,Turf,39
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,744/57-P,P,Wildfire Warrior,Sean Houlihan,P Hobbs & J White,26,8,11.6,N,N,N,N,92,102,2m 7f,12,5, Good,0,0,-5,1,9,Y,Jump,Turf,-
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,50-1V5P,P,Stripe Of Honour,Charlie Hammond,A Day,19,10,10.9,N,Y,N,Y,81,212,2m 7f,12,5, Good,103,0,-1,2,3,Y,Jump,Turf,95
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,31-141P,P,Classic Concorde,C Brace,D Brace,19,10,11.8,N,N,Y,N,94,219,2m 7f,12,5, Good,81,0,-5,3,2,Y,Jump,Turf,65
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,05744-2,2,Rubys Reward,H Cobden,Mrs D A Hamer,33,7,10.2,N,N,N,N,73,175,2m 7f,12,5, Good,101,0,-4,4,5,Y,Jump,Turf,74
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,112F3-6,6,Twilight Girl,Mr Alex Chadwick,James Owen,13,10,12.0,N,N,N,N,100,109,2m 7f,12,5, Good,96,0,5,5,7,Y,Jump,Turf,55
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,456-221,1,Karavomylos,S Bowen,P Bowen,23,4,11.4,N,N,Y,N,97,304,2m 7f,12,5, Good,102,-1,13,6,1,Y,Jump,Turf,98
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,3464-66,6,Fantomas,Mr James Turner,N A Twiston-Davies,13,7,10.11,N,N,N,N,83,107,2m 7f,12,5, Good,105,0,-1,7,8,Y,Jump,Turf,70
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,10009/P-,-,Kayf Baha,Conor Ring,Alexandra Dunn,192,7,10.2,N,N,N,N,69,30,2m 7f,12,5, Good,0,0,0,8,12,Y,Jump,Turf,-
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,80P5-8P,P,King Otis,Harry Bannister,Billy Aprahamian,28,7,10.9,N,N,N,N,81,66,2m 7f,12,5, Good,105,0,-3,9,10,Y,Jump,Turf,64
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,35/230-2,2,Racing Spirit,Lee Edwards,Dave Roberts,34,11,10.6,N,N,N,N,78,111,2m 7f,12,5, Good,99,0,1,10,6,Y,Jump,Turf,72
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,892UU4-,-,Ya Know Yaseff,Jack Tudor,D Pipe,106,6,10.5,N,N,N,N,77,182,2m 7f,12,5, Good,102,0,3,11,4,Y,Jump,Turf,96
Worcester,20230710,16:50,Radio Wyvern - Where Worcester Comes First Handicap Hurdle (Div 1) (Class 5),-,63/8PP-8,8,Trickalight,Chris Ward,Deborah Cole,45,7,10.4,N,N,N,N,76,30,2m 7f,12,5, Good,86,0,-5,12,11,Y,Jump,Turf,30
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,4P-6U68,8,Forest Pump,P J Carberry,M J Smith,2,6,11.4,N,N,N,N,102,91,2m 4f,13,-, Good,117,0,-6,1,6,N,Jump,Turf,91
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,15-6143,3,Bal De Rio,P K Donovan,D Hogan,27,10,11.8,Y,N,N,N,110,121,2m 4f,13,-, Good,122,0,6,2,5,N,Jump,Turf,87
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,58248-4,4,My Manekineko,G Brouder,P McCreery,27,14,10.8,N,N,N,N,105,66,2m 4f,13,-, Good,128,0,2,3,8,N,Jump,Turf,94
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,8U-4577,7,Latest Model,J S McGarvey,J J Hanlon,19,6,10.8,N,N,N,N,85,43,2m 4f,13,-, Good,110,0,-1,4,11,N,Jump,Turf,74
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,868-P84,4,Eagle Terrace,B Hayes,J J Hanlon,19,5,11.0,N,N,N,N,103,129,2m 4f,13,-, Good,118,0,-3,5,4,N,Jump,Turf,73
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,25F-576,6,Benz,C P Millar,G Elliott,6,5,10.8,N,N,N,N,107,53,2m 4f,13,-, Good,126,0,-16,6,10,N,Jump,Turf,85
Roscommon,20230710,17:00,Knockcroghery Claiming Hurdle,-,35P-8F8,8,Barbary Master,L A McKenna,N Meade,29,8,11.4,N,N,N,N,110,53,2m 4f,13,-, Good,129,0,5,7,9,N,Jump,Turf,73
