Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,Runner Count,Class,Going,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
Haydock,20230708,14:05,bet365 Handicap (Class 2),10,121,1,Rogue Sea,D Tudhope,Tom Clover,31,3,9.4,N,N,N,N,90,241,1m 6f,14,2, Good,100,3,-5,2,3.0,Y,Flat,Turf,93
Haydock,20230708,14:05,bet365 Handicap (Class 2),6,0-85211,1,Pledgeofallegiance,L Morris,Sir Mark Prescott,8,3,8.11,N,N,Y,N,83,295,1m 6f,14,2, Good,109,2,-10,3,2.0,Y,Flat,Turf,89
Haydock,20230708,14:05,bet365 Handicap (Class 2),7,544-19,9,Torre Del Oro,David Probert,A M Balding,51,3,9.0,N,N,N,N,86,146,1m 6f,14,2, Good,104,1,-1,4,11.0,Y,Flat,Turf,69
Haydock,20230708,14:05,bet365 Handicap (Class 2),3,55-6212,2,Bulldog Spirit,Andrew Breslin,Charlie Johnston,22,3,8.5,N,N,N,N,77,219,1m 6f,14,2, Good,105,2,-8,5,6.0,Y,Flat,Turf,94
Haydock,20230708,14:05,bet365 Handicap (Class 2),2,1631,1,Flower Of Dubai,David Egan,S & E Crisford,19,3,8.8,N,N,N,N,80,183,1m 6f,14,2, Good,100,3,-5,6,8.0,Y,Flat,Turf,87
Haydock,20230708,14:05,bet365 Handicap (Class 2),12,4245-41,1,Midnight Lion,J Fanning,Charlie Johnston,15,3,8.9,N,N,Y,N,81,232,1m 6f,14,2, Good,110,2,-3,7,5.0,Y,Flat,Turf,90
Haydock,20230708,14:05,bet365 Handicap (Class 2),8,135-120,0,Struth,R Kingscote,Charlie Johnston,16,3,9.9,N,N,N,N,95,136,1m 6f,14,2, Good,106,0,9,8,13.0,Y,Flat,Turf,82
Haydock,20230708,14:05,bet365 Handicap (Class 2),14,625-132,2,Imaginary World,Kevin Stott,J Tate,28,3,8.13,N,N,N,N,85,174,1m 6f,14,2, Good,102,2,-8,9,10.0,Y,Flat,Turf,83
Haydock,20230708,14:05,bet365 Handicap (Class 2),11,159-753,3,Chillhi,Ben Robinson,B Ellison,42,3,9.0,N,N,N,N,86,137,1m 6f,14,2, Good,103,2,0,10,12.0,Y,Flat,Turf,74
Haydock,20230708,14:05,bet365 Handicap (Class 2),4,0-11213,3,Cinnodin,Non Runner,R Hughes,22,3,8.2,N,N,Y,N,70,233,1m 6f,14,2, Good,101,3,-18,11,4.0,Y,Flat,Turf,77
Haydock,20230708,14:05,bet365 Handicap (Class 2),13,64-2211,1,Lordship,A J Farragher,W J Haggas,8,3,8.13,N,N,Y,N,85,295,1m 6f,14,2, Good,108,3,-7,12,1.0,Y,Flat,Turf,95
Haydock,20230708,14:05,bet365 Handicap (Class 2),5,631-238,8,Rathgar,Charles Bishop,Jack Channon,35,3,8.12,N,N,N,N,84,69,1m 6f,14,2, Good,104,0,1,13,14.0,Y,Flat,Turf,93
Haydock,20230708,14:05,bet365 Handicap (Class 2),1,5-321,1,Banderas,N Callan,M L W Bell,57,3,8.8,N,N,N,N,80,202,1m 6f,14,2, Good,104,0,-11,14,7.0,Y,Flat,Turf,66
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,7,362,2,Back Down Under,L F Roche,P Roche,10,2,9.2,N,N,N,N,80,195,5f,12,-, Good,85,0,0,1,1.0,N,Flat,Turf,58
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,1,033,3,Asean,P A Harnett,Donnacha O'Brien,10,2,9.2,N,N,N,N,77,183,5f,12,-, Good,83,0,0,2,2.0,N,Flat,Turf,74
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,3,05,5,Seven Eleven,D W O'Connor,J F Levins,15,2,9.2,N,N,N,N,-,103,5f,12,-, Good,72,0,0,3,4.0,N,Flat,Turf,36
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,11,90,0,Tiscommonknowledge,D P McDonogh,P Roche,10,2,9.2,N,N,N,N,-,73,5f,12,-, Good,62,0,0,4,6.0,N,Flat,Turf,30
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,2,2,2,Clarita,G F Carroll,G P Cromwell,22,2,9.2,N,N,N,N,-,151,5f,12,-, Good,87,0,0,5,3.0,N,Flat,Turf,68
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,9,-,-,Butterfly Bush,B M Coen,N Lupini,22,2,9.2,N,N,N,N,-,56,5f,12,-, Good,23,0,2,6,7.0,N,Flat,Turf,-
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,5,00,0,Oak Allye,N M Crosse,Kevin Coleman,10,2,9.2,N,N,N,N,-,73,5f,12,-, Good,50,0,1,7,5.0,N,Flat,Turf,22
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,12,-,-,Altimara,C P Hoban,R O'Sullivan,-,2,9.2,N,N,N,N,-,46,5f,12,-, Good,0,0,0,8,8.0,N,Flat,Turf,-
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,10,-,-,Flamin Gem,R P Whelan,N Lupini,-,2,9.2,N,N,N,N,-,46,5f,12,-, Good,0,0,0,9,9.0,N,Flat,Turf,-
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,6,-,-,Heavenly Being,S Foley,Mrs J Harrington,-,2,9.2,N,N,N,N,-,46,5f,12,-, Good,0,0,0,10,10.0,N,Flat,Turf,-
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,4,-,-,Masonbrook Meadow,O McSweeney,K P Cotter,-,2,9.2,N,N,N,N,-,46,5f,12,-, Good,0,0,0,11,11.0,N,Flat,Turf,-
Naas,20230708,14:10,Irish Stallion Farms EBF Fillies Maiden,8,-,-,Storm Miami,C T Keane,G M Lyons,-,2,9.2,N,N,N,N,-,46,5f,12,-, Good,0,0,0,12,12.0,N,Flat,Turf,-
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),1,2,2,Expert Choice,D Nolan,R A Fahey,43,2,9.7,N,N,N,N,-,141,7f 96y,10,5, Good To Firm,84,-3,4,1,2.0,N,Flat,Turf,78
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),5,7,7,Likleman,F Norton,Charlie Johnston,25,2,9.7,N,N,N,N,-,56,7f 96y,10,5, Good To Firm,62,-1,2,2,10.0,N,Flat,Turf,32
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),3,442,2,Vice Captain,Benoit D L Sayette,George Scott,9,2,9.5,N,N,N,N,72,218,7f 96y,10,5, Good To Firm,87,0,1,3,1.0,N,Flat,Turf,77
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),8,7,7,Timetobenice,P Hanagan,D O'Meara,21,2,9.5,N,N,N,N,-,67,7f 96y,10,5, Good To Firm,56,0,-2,4,8.0,N,Flat,Turf,44
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),6,3,3,Belle Storm,C Lee,J Tate,19,2,9.0,N,N,N,N,-,122,7f 96y,10,5, Good To Firm,72,0,1,5,4.0,N,Flat,Turf,-
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),9,3,3,Eminny,Finley Marsh,M Appleby,11,2,9.0,N,N,N,N,-,128,7f 96y,10,5, Good To Firm,83,0,0,6,3.0,N,Flat,Turf,19
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),10,7,7,Wysiwyg,Callum Hutchinson,K P De Foy,10,2,9.5,N,N,N,N,-,73,7f 96y,10,5, Good To Firm,54,-1,1,7,7.0,N,Flat,Turf,-
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),7,68,8,Marton Heads,D Allan,T D Easterby,19,2,9.5,N,N,N,N,-,94,7f 96y,10,5, Good To Firm,52,0,1,8,5.0,N,Flat,Turf,20
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),4,9,9,Palazzo Persico,Hector Crouch,E A L Dunlop,10,2,9.5,N,N,N,N,-,73,7f 96y,10,5, Good To Firm,25,-1,-2,9,6.0,N,Flat,Turf,-
Beverley,20230708,14:15,EBF Restricted Novice Stakes (GBB Race) (Class 5),2,-,-,Bella Camina,T Eaves,K A Ryan,18,2,9.2,N,N,N,N,-,67,7f 96y,10,5, Good To Firm,23,0,0,10,9.0,N,Flat,Turf,-
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),15,045422,2,Dutch Decoy,Hayley Turner,Charlie Johnston,21,6,8.9,N,N,Y,N,90,273,1m,15,2, Good,115,0,-11,1,2.0,Y,Flat,Turf,102
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),14,4-1641,1,Sceptic,Hollie Doyle,A M Balding,15,3,8.2,N,N,Y,N,92,239,1m,15,2, Good,120,2,-16,2,4.0,Y,Flat,Turf,108
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),11,202-048,8,Baltimore Boy,T E Whelan,M L W Bell,21,4,8.7,N,N,N,N,88,84,1m,15,2, Good,117,0,-15,3,15.0,Y,Flat,Turf,89
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),8,22120-1,1,Indemnify,K T O'Neill,Alice Haynes,44,4,8.11,N,N,Y,Y,92,188,1m,15,2, Good,115,1,-2,4,8.0,Y,Flat,Turf,100
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),5,6-32366,6,Ouzo,Saffie Osborne,J A Osborne,17,7,8.13,N,Y,Y,N,94,153,1m,15,2, Good,117,0,2,5,11.0,Y,Flat,Turf,107
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),1,520-538,8,Silent Film,W Buick,Ian Williams,16,5,9.4,N,Y,Y,N,99,194,1m,15,2, Good,116,0,-3,6,7.0,Y,Flat,Turf,101
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),2,561-158,8,Positive,Rossa Ryan,C G Cox,17,6,9.1,N,Y,Y,N,105,172,1m,15,2, Good,116,0,2,7,9.0,Y,Flat,Turf,82
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),10,810-344,4,Escobar,J P Spencer,D O'Meara,35,9,9.12,N,N,Y,N,107,195,1m,15,2, Good,119,-1,4,8,5.0,Y,Flat,Turf,73
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),4,3409-70,0,Perotto,Tom Marquand,R Varian,17,5,8.13,Y,Y,Y,N,94,107,1m,15,2, Good,122,0,1,9,14.0,Y,Flat,Turf,98
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),3,8-93190,0,Revich,Jim Crowley,R Spencer,17,7,9.2,N,N,Y,N,97,117,1m,15,2, Good,118,0,2,10,13.0,Y,Flat,Turf,104
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),6,0/6-9581,1,Major Partnership,T P Queally,S bin Suroor,34,8,9.7,N,N,Y,N,102,194,1m,15,2, Good,116,0,-2,11,6.0,Y,Flat,Turf,98
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),9,136013,3,Maysong,Tommie Jakes,Alice Haynes,4,6,8.2,N,N,Y,Y,83,246,1m,15,2, Good,114,0,-14,12,3.0,Y,Flat,Turf,102
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),12,3832-22,2,Spirit Catcher,Andrea Atzeni,Charlie Johnston,9,4,8.6,N,N,Y,N,87,291,1m,15,2, Good,116,0,-1,13,1.0,Y,Flat,Turf,99
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),13,25-7040,0,Orbaan,Jason Watson,D O'Meara,17,8,9.1,N,N,Y,N,96,165,1m,15,2, Good,117,0,0,14,10.0,Y,Flat,Turf,74
Sandown,20230708,14:25,Coral Challenge (Handicap) (Class 2),7,707-460,0,Intellogent,K Shoemark,Jane Chapple-Hyam,17,8,9.5,N,N,Y,N,100,142,1m,15,2, Good,117,0,-1,15,12.0,Y,Flat,Turf,80
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),9,11710-2,2,Mimikyu,R Havlin,J & T Gosden,42,4,9.7,Y,N,Y,Y,110,215,1m 3f 175y,9,1, Good,118,0,0,1,6.0,N,Flat,Turf,104
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),5,3683-13,3,One For Bobby,O J Orr,H Morrison,8,4,9.7,N,N,N,N,104,234,1m 3f 175y,9,1, Good,111,0,0,2,5.0,N,Flat,Turf,98
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),1,1243-61,1,Sea Silk Road,D Tudhope,W J Haggas,28,4,9.7,N,N,N,Y,108,257,1m 3f 175y,9,1, Good,116,0,5,3,4.0,N,Flat,Turf,60
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),8,770856,6,Wickywickywheels,Kevin Stott,J S Goldie,42,5,9.7,N,N,Y,N,96,167,1m 3f 175y,9,1, Good,111,0,5,4,8.0,N,Flat,Turf,81
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),4,1274-33,3,Poptronic,Sam James,K R Burke,28,4,9.7,N,N,N,N,104,172,1m 3f 175y,9,1, Good,115,0,5,5,7.0,N,Flat,Turf,56
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),7,0122-24,4,Time Lock,David Probert,H & R Charlton,28,4,9.7,Y,N,Y,N,102,261,1m 3f 175y,9,1, Good,113,0,5,6,2.0,N,Flat,Turf,63
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),3,42124-1,1,Peripatetic,David Egan,R Varian,27,4,9.7,N,N,Y,N,105,266,1m 3f 175y,9,1, Good,115,0,7,7,1.0,N,Flat,Turf,91
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),2,9/2921-7,7,Aristia,S M Levey,R Hannon,51,5,9.7,N,N,N,N,111,150,1m 3f 175y,9,1, Good,122,0,2,8,9.0,N,Flat,Turf,88
Haydock,20230708,14:40,bet365 Lancashire Oaks (Fillies' And Mares' Group 2) (Class 1),6,156/4-31,1,Luisa Casati,R Kingscote,T Ward,64,5,9.7,N,N,Y,N,105,259,1m 3f 175y,9,1, Good,112,0,5,9,3.0,N,Flat,Turf,88
Naas,20230708,14:45,Irish EBF Median Sires Series Race,3,91,1,Rush Queen,R P Whelan,A McGuinness,34,2,9.3,N,N,Y,N,-,200,5f 205y,12,-, Good,86,0,1,1,1.0,N,Flat,Turf,75
Naas,20230708,14:45,Irish EBF Median Sires Series Race,9,77,7,Charles Atlas,L F Roche,W McCreery,15,2,9.2,N,N,N,N,-,67,5f 205y,12,-, Good,68,0,-5,2,4.0,N,Flat,Turf,54
Naas,20230708,14:45,Irish EBF Median Sires Series Race,10,04,4,Glamorously,B M Coen,Mrs J Harrington,2,2,9.3,N,N,N,N,-,104,5f 205y,12,-, Good,69,0,3,3,3.0,N,Flat,Turf,48
Naas,20230708,14:45,Irish EBF Median Sires Series Race,7,14,4,Buyin Buyin,G F Carroll,W P Browne,42,2,9.4,N,N,N,N,94,196,5f 205y,12,-, Good,105,0,-1,4,2.0,N,Flat,Turf,60
Naas,20230708,14:45,Irish EBF Median Sires Series Race,5,-,-,Zelosa,R C Colgan,S Lavery,22,2,8.13,N,N,N,N,-,24,5f 205y,12,-, Good,42,0,-1,5,10.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,11,-,-,Mansa Musa,G M Ryan,Diego Dias,-,2,9.4,N,N,N,N,-,46,5f 205y,12,-, Good,0,0,0,6,5.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,1,-,-,Simplexity,J Kearney,G M Lyons,-,2,9.4,N,N,N,N,-,46,5f 205y,12,-, Good,0,0,0,7,6.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,6,-,-,Emerald Banner,S Foley,Mrs J Harrington,-,2,9.3,N,N,N,N,-,46,5f 205y,12,-, Good,0,0,0,8,7.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,8,-,-,Cool Dan,C T Keane,G M Lyons,-,2,9.2,N,N,N,N,-,46,5f 205y,12,-, Good,0,0,0,9,8.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,12,-,-,Nadowessi,D P McDonogh,E & P Harty,-,2,9.1,N,N,N,N,-,46,5f 205y,12,-, Good,0,0,0,10,9.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,4,-,-,More Profit,D McMonagle,G P Cromwell,-,2,8.11,N,N,N,N,-,14,5f 205y,12,-, Good,0,0,0,11,11.0,N,Flat,Turf,-
Naas,20230708,14:45,Irish EBF Median Sires Series Race,2,-,-,Au Lait,N M Crosse,W McCreery,-,2,8.9,N,N,N,N,-,7,5f 205y,12,-, Good,0,0,0,12,12.0,N,Flat,Turf,-
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),4,27,7,Lady Pink Rose,C Lee,K R Burke,17,2,9.2,N,N,N,N,-,162,5f,13,5, Good To Firm,100,-4,0,1,1.0,N,Flat,Turf,89
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),11,5,5,Red Zone Hero,Hector Crouch,M L W Bell,12,2,9.7,N,N,N,N,-,109,5f,13,5, Good To Firm,81,0,0,2,6.0,N,Flat,Turf,53
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),6,38,8,Hooray For Hazel,D Nolan,R A Fahey,49,2,9.2,N,N,N,N,-,101,5f,13,5, Good To Firm,72,-1,1,3,8.0,N,Flat,Turf,56
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),3,3,3,Whogoesthere,Zak Wheatley,D Carroll,17,2,9.7,N,N,N,N,-,122,5f,13,5, Good To Firm,75,-1,6,4,5.0,N,Flat,Turf,34
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),8,85,5,Brandaisy,J P Sullivan,R A Fahey,13,2,9.2,N,N,N,N,-,109,5f,13,5, Good To Firm,71,-1,0,5,7.0,N,Flat,Turf,38
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),2,04,4,Macarone,Harry Russell,Craig Lidster,10,2,9.7,N,N,N,N,-,123,5f,13,5, Good To Firm,60,0,2,6,3.0,N,Flat,Turf,53
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),12,07,7,Belvoir Kitten,F Norton,E A L Dunlop,12,2,9.7,N,N,N,N,-,73,5f,13,5, Good To Firm,46,-1,0,7,10.0,N,Flat,Turf,28
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),10,5,5,Sergeant Mayer,Faye McManoman,N Tinkler,48,2,9.7,N,N,N,N,-,82,5f,13,5, Good To Firm,40,-1,0,8,9.0,N,Flat,Turf,17
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),5,66,6,Coin Power,Benoit D L Sayette,T D Easterby,9,2,9.7,N,N,N,N,-,127,5f,13,5, Good To Firm,62,0,0,9,2.0,N,Flat,Turf,47
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),7,4230,0,Alfa Whiteburd,P Hanagan,Craig Lidster,18,2,9.7,N,N,N,N,73,122,5f,13,5, Good To Firm,78,-4,4,10,4.0,N,Flat,Turf,65
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),9,8,8,Good Point,G Lee,B Smart,23,2,9.7,N,N,N,N,-,56,5f,13,5, Good To Firm,0,-1,0,11,11.0,N,Flat,Turf,-
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),1,-,-,Profiteer,D Allan,T D Easterby,-,2,9.7,N,N,N,N,-,46,5f,13,5, Good To Firm,0,-3,0,12,12.0,N,Flat,Turf,-
Beverley,20230708,14:50,weatherbysshop.co.uk EBF Maiden Stakes (GBB Race) (Class 5),13,-,-,Venture Capital,T Eaves,K A Ryan,-,2,9.7,N,N,N,N,-,46,5f,13,5, Good To Firm,0,0,0,13,13.0,N,Flat,Turf,-
Leicester,20230708,14:55,Smooth Breakfast With Gareth Evans Selling Stakes (Class 3),5,5846,6,Surface To Air,Darragh Keenan,P D Evans,22,2,9.4,N,N,N,N,64,133,6f,11,3, Good To Firm,72,0,0,1,3.0,N,Flat,Turf,54
Leicester,20230708,14:55,Smooth Breakfast With Gareth Evans Selling Stakes (Class 3),3,85,5,Go Your Own Way,L P Keniry,J S Moore,66,2,9.4,N,N,N,N,-,82,6f,11,3, Good To Firm,59,2,2,2,6.0,N,Flat,Turf,49
Leicester,20230708,14:55,Smooth Breakfast With Gareth Evans Selling Stakes (Class 3),1,6866,6,Bellestarr,Dane O'Neill,Craig Lidster,38,2,8.13,N,N,N,N,48,68,6f,11,3, Good To Firm,60,3,4,3,8.0,N,Flat,Turf,38
Leicester,20230708,14:55,Smooth Breakfast With Gareth Evans Selling Stakes (Class 3),9,292,2,Making Dreams,Richard Oliver,K R Burke,8,2,8.13,N,N,N,N,64,136,6f,11,3, Good To Firm,76,1,0,4,2.0,N,Flat,Turf,39
Leicester,20230708,14:55,Smooth Breakfast With Gareth Evans Selling Stakes (Class 3),10,74,4,The Good Biscuit,Daniel Muscutt,Jack Channon,9,2,9.4,N,N,N,N,-,123,6f,11,3, Good To Firm,77,2,-3,5,4.0,N,Flat,Turf,61
